reg_date,consent,email
01/08/2022,Yes,3357@nhs.scot
06/08/2022,Yes,8291@nhs.scot
11/08/2022,Yes,3922@nhs.scot
08/08/2022,Yes,5422@nhs.scot
05/08/2022,No,3850@nhs.scot
02/08/2022,No,5389@nhs.scot
07/08/2022,No,7726@nhs.scot
12/08/2022,No,3974@nhs.scot
17/08/2022,No,5389@nhs.scot
14/08/2022,Yes,8631@nhs.scot
11/08/2022,No,1138@nhs.scot
16/08/2022,No,3050@nhs.scot
13/08/2022,No,8860@nhs.scot
10/08/2022,Yes,5708@nhs.scot
15/08/2022,No,4110@nhs.scot
12/08/2022,Yes,7256@nhs.scot
09/08/2022,No,7556@nhs.scot
14/08/2022,No,5318@nhs.scot
19/08/2022,No,8272@nhs.scot
24/08/2022,No,6480@nhs.scot
29/08/2022,No,3631@nhs.scot
26/08/2022,Yes,6172@nhs.scot
23/08/2022,No,7298@nhs.scot
28/08/2022,No,1364@nhs.scot
25/08/2022,No,6948@nhs.scot
22/08/2022,Yes,7871@nhs.scot
27/08/2022,No,8784@nhs.scot
24/08/2022,No,9191@nhs.scot
29/08/2022,No,4043@nhs.scot
