reg_date,consent,email
03/09/2022,Yes,2068@nhs.scot
08/09/2022,No,8559@nhs.scot
05/09/2022,No,3094@nhs.scot
02/09/2022,No,9028@nhs.scot
30/08/2022,No,6190@nhs.scot
04/09/2022,No,6114@nhs.scot
09/09/2022,Yes,6850@nhs.scot
14/09/2022,Yes,2817@nhs.scot
11/09/2022,No,3262@nhs.scot
08/09/2022,Yes,7821@nhs.scot
05/09/2022,No,2385@nhs.scot
02/09/2022,Yes,3480@nhs.scot
07/09/2022,No,5602@nhs.scot
04/09/2022,No,5091@nhs.scot
01/09/2022,No,4256@nhs.scot
29/08/2022,Yes,2280@nhs.scot
17/08/2022,Yes,2377@nhs.scot
22/08/2022,No,9049@nhs.scot
19/08/2022,Yes,9714@nhs.scot
24/08/2022,No,8826@nhs.scot
21/08/2022,Yes,2854@nhs.scot
26/08/2022,No,5231@nhs.scot
23/08/2022,No,482@nhs.scot
28/08/2022,No,3090@nhs.scot
25/08/2022,No,2362@nhs.scot
30/08/2022,No,9573@nhs.scot
04/09/2022,No,4425@nhs.scot
01/09/2022,Yes,512@nhs.scot
06/09/2022,No,7105@nhs.scot
11/09/2022,No,4451@nhs.scot
16/09/2022,No,1364@nhs.scot
13/09/2022,No,7238@nhs.scot
18/09/2022,No,3878@nhs.scot
15/09/2022,Yes,4568@nhs.scot
12/09/2022,Yes,5695@nhs.scot
17/09/2022,No,2553@nhs.scot
14/09/2022,No,2940@nhs.scot
11/09/2022,No,3861@nhs.scot
