a row of utter nonsense
reg_date,consent,email
16/09/2022,No,516@nhs.scot
13/09/2022,No,8645@nhs.scot
18/09/2022,No,2926@nhs.scot
15/09/2022,No,7610@nhs.scot
20/09/2022,No,6289@nhs.scot
17/09/2022,No,7468@nhs.scot
22/09/2022,No,6490@nhs.scot
19/09/2022,No,565@nhs.scot
24/09/2022,No,7557@nhs.scot
29/09/2022,Yes,3881@nhs.scot
04/10/2022,Yes,7435@nhs.scot
09/10/2022,No,3127@nhs.scot
06/10/2022,No,4835@nhs.scot
03/10/2022,No,4819@nhs.scot
08/10/2022,No,1233@nhs.scot
05/10/2022,No,6481@nhs.scot
02/10/2022,No,5222@nhs.scot
07/10/2022,No,7147@nhs.scot
04/10/2022,Yes,7280@nhs.scot
09/10/2022,Yes,3720@nhs.scot
14/10/2022,No,3213@nhs.scot
19/10/2022,No,2134@nhs.scot
16/10/2022,No,2596@nhs.scot
13/10/2022,Yes,2991@nhs.scot
10/10/2022,No,9174@nhs.scot
15/10/2022,No,7668@nhs.scot
20/10/2022,No,3074@nhs.scot
25/10/2022,No,3613@nhs.scot
22/10/2022,No,1125@nhs.scot
19/10/2022,Yes,6909@nhs.scot
24/10/2022,Yes,8166@nhs.scot
21/10/2022,No,5356@nhs.scot
18/10/2022,No,4571@nhs.scot
23/10/2022,No,5642@nhs.scot
20/10/2022,No,3030@nhs.scot
17/10/2022,Yes,7636@nhs.scot
22/10/2022,No,8701@nhs.scot
27/10/2022,No,1035@nhs.scot
01/11/2022,No,1513@nhs.scot
06/11/2022,Yes,7098@nhs.scot
03/11/2022,No,206@nhs.scot
31/10/2022,No,1361@nhs.scot
05/11/2022,No,4023@nhs.scot
02/11/2022,No,599@nhs.scot
30/10/2022,Yes,6808@nhs.scot
04/11/2022,Yes,7964@nhs.scot
01/11/2022,No,4147@nhs.scot
06/11/2022,No,4632@nhs.scot
11/11/2022,Yes,3498@nhs.scot
16/11/2022,No,5671@nhs.scot
13/11/2022,No,7889@nhs.scot
10/11/2022,No,7865@nhs.scot
07/11/2022,No,2586@nhs.scot
12/11/2022,No,219@nhs.scot
17/11/2022,No,9239@nhs.scot
22/11/2022,Yes,7485@nhs.scot
19/11/2022,No,6854@nhs.scot
16/11/2022,Yes,5684@nhs.scot
21/11/2022,No,8237@nhs.scot
18/11/2022,No,6677@nhs.scot
15/11/2022,No,1627@nhs.scot
20/11/2022,No,6254@nhs.scot
17/11/2022,Yes,1132@nhs.scot
14/11/2022,No,1535@nhs.scot
19/11/2022,No,9294@nhs.scot
24/11/2022,No,4682@nhs.scot
29/11/2022,Yes,4571@nhs.scot
04/12/2022,No,8949@nhs.scot
